,original_title,revenue,budget,profit,revenue_adj,budget_adj,profit_adj
2908,Step Up 2: The Streets,150816700,23000000,127816700,152745137.915207,23294092.577610802,129451045.3375962
2909,The Day the Earth Stood Still,233093859,80000000,153093859,236074344.818198,81022930.70473342,155051414.1134646
2910,Starship Troopers 3: Marauder,0,9000000,-9000000,0.0,9115079.7042825,-9115079.7042825
2911,Seven Pounds,168167691,55000000,113167691,170317989.68335,55703264.8595042,114614724.8238458
2912,Cloverfield,170764026,25000000,145764026,172947523.068241,25319665.8452291,147627857.2230119
2913,Bolt,309979994,150000000,159979994,313943594.671445,151917995.071375,162025599.60007
2914,Forgetting Sarah Marshall,105173115,30000000,75173115,106517925.108074,30383599.014275,76134326.093799
2915,Australia,49554002,130000000,-80445998,50187630.87735271,131662262.39519098,-81474631.51783827
2916,Yes Man,225990978,70000000,155990978,228880641.879861,70895064.3666417,157985577.5132193
2917,Marley & Me,244082376,60000000,184082376,247203367.961183,60767198.02855,186436169.932633
2918,Body of Lies,113280098,70000000,43280098,114728569.130992,70895064.3666417,43833504.764350295
2919,Burn After Reading,163720069,37000000,126720069,165813497.56951398,37473105.4509392,128340392.11857477
2920,27 Dresses,160259319,30000000,130259319,162308496.226559,30383599.014275,131924897.21228401
2921,Inkheart,57490374,60000000,-2509626,58225482.35989,60767198.02855,-2541715.66866
2922,21,69823199,35000000,34823199,70716002.6769976,35447532.1833208,35268470.493676804
2923,The Bank Job,64822796,20000000,44822796,65651661.35493829,20255732.676183302,45395928.678754985
2924,Step Brothers,128107642,65000000,63107642,129745707.506409,65831131.1975958,63914576.30881321
2925,"Definitely, Maybe",55447968,0,55447968,56156960.862278394,0.0,56156960.862278394
2926,Fool's Gold,111231041,70000000,41231041,112653311.589479,70895064.3666417,41758247.2228373
2927,Never Back Down,41627431,20000000,21627431,42159705.7166133,20255732.676183302,21903973.04043
2928,Pineapple Express,101624843,27000000,74624843,102924282.653355,27345239.1128475,75579043.5405075
2929,The Wrestler,44703995,6000000,38703995,45275608.6138718,6076719.802855,39198888.8110168
2930,Bedtime Stories,212874442,80000000,132874442,215596389.537184,81022930.70473342,134573458.83245057
2931,Punisher: War Zone,10089373,20500000,-10410627,10218382.1179151,20762125.9930879,-10543743.8751728
2932,Max Payne,85416905,35000000,50416905,86509099.68534741,35447532.1833208,51061567.50202661
2933,Mirrors,72436439,35000000,37436439,73362657.2199331,35447532.1833208,37915125.036612295
2934,Vantage Point,151161491,40000000,111161491,153094337.63146397,40511465.35236671,112582872.27909726
2935,Zack and Miri Make a Porno,42105111,24000000,18105111,42643493.635851294,24306879.21142,18336614.424431294
2936,Get Smart,230685453,80000000,150685453,233635143.41261202,81022930.70473342,152612212.7078786
2937,Role Models,92380927,28000000,64380927,93562168.0845004,28358025.746656604,65204142.3378438
2938,The Scorpion King: Rise of a Warrior,0,0,0,0.0,0.0,0.0
2939,Frost/Nixon,0,0,0,0.0,0.0,0.0
2940,High School Musical 3: Senior Year,0,0,0,0.0,0.0,0.0
2941,The Reader,0,32000000,-32000000,0.0,32409172.281893298,-32409172.281893298
2942,Babylon A.D.,72108608,70000000,2108608,73030634.3649848,70895064.3666417,2135569.998343095
2943,Diario de una ninfÃ³mana,0,0,0,0.0,0.0,0.0
2944,In Bruges,32002538,15000000,17002538,32411742.734369896,15191799.5071375,17219943.227232397
2945,Changeling,113020255,55000000,58020255,114465403.613703,55703264.8595042,58762138.7541988
2946,The Spiderwick Chronicles,162839667,90000000,72839667,164921838.191535,91150797.042825,73771041.14871
2947,Harold & Kumar Escape from Guantanamo Bay,43493123,12000000,31493123,44049253.637018,12153439.60571,31895814.031308003
2948,The Accidental Husband,22707064,0,22707064,22997410.9122493,0.0,22997410.9122493
2949,Wild Child,0,0,0,0.0,0.0,0.0
2950,Felon,0,2900000,-2900000,0.0,2937081.23804658,-2937081.23804658
2951,Snow Buddies,0,0,0,0.0,0.0,0.0
2952,Kung Fu Panda: Secrets of the Furious Five,0,0,0,0.0,0.0,0.0
2953,Street Kings,65569869,20000000,45569869,66408286.903818004,20255732.676183302,46152554.2276347
2954,Nick and Norah's Infinite Playlist,32973937,9000000,23973937,33395562.657665502,9115079.7042825,24280482.953383002
2955,Four Christmases,163733697,80000000,83733697,165827299.82576,81022930.70473342,84804369.12102659
2956,Another Cinderella Story,0,5000000,-5000000,0.0,5063933.16904583,-5063933.16904583
2957,Stargate: The Ark of Truth,8900000,7000000,1900000,9013801.04090159,7089506.43666417,1924294.6042374205
2958,The House Bunny,70442940,25000000,45442940,71343668.0782211,25319665.8452291,46024002.23299199
2959,Presto,0,0,0,0.0,0.0,0.0
2960,Star Wars: The Clone Wars,68282844,8500000,59782844,69155951.7216765,8608686.38737792,60547265.33429858
2961,Saw V,113857533,10800000,103057533,115313387.580886,10938095.645139,104375291.93574701
2962,The Love Guru,41819064,62000000,-20180936,42353789.0576101,62792771.2961683,-20438982.238558196
2963,Speed Racer,93945766,120000000,-26054234,95147016.10776371,121534396.0571,-26387379.94933629
2964,Vicky Cristina Barcelona,96408652,15000000,81408652,97641394.1291594,15191799.5071375,82449594.62202191
2965,Horton Hears a Who!,297138014,85000000,212138014,300937408.975801,86086863.8737792,214850545.1020218
2966,The Duchess,0,0,0,0.0,0.0,0.0
2967,Happy-Go-Lucky,18130888,0,18130888,18362721.025491,0.0,18362721.025491
2968,The Forbidden Kingdom,127906624,55000000,72906624,129542119.162854,55703264.8595042,73838854.3033498
2969,Che: Part One,0,30000000,-30000000,0.0,30383599.014275,-30383599.014275
2970,BURNâ€¢E,0,0,0,0.0,0.0,0.0
2971,Righteous Kill,73174566,60000000,13174566,74110222.37958671,60767198.02855,13343024.351036713
2972,Transsiberian,5926410,15000000,-9073590,6002188.83447298,15191799.5071375,-9189610.67266452
2973,Traitor,23530831,22000000,1530831,23831711.1192224,22281305.9438016,1550405.1754207984
2974,You Don't Mess With the Zohan,201596308,90000000,111596308,204174046.167676,91150797.042825,113023249.124851
2975,Defiance,51155219,32000000,19155219,51809322.0527807,32409172.281893298,19400149.770887405
2976,Management,2434658,0,2434658,2465789.08029656,0.0,2465789.08029656
2977,Untraceable,32483410,35000000,-2516590,32898763.468543,35447532.1833208,-2548768.7147777975
2978,The Good Witch,0,0,0,0.0,0.0,0.0
2979,LOL (Laughing Out Loud),0,0,0,0.0,0.0,0.0
2980,The Strangers,82391145,9000000,73391145,83444650.400233,9115079.7042825,74329570.69595051
2981,Stargate: Continuum,0,7000000,-7000000,0.0,7089506.43666417,-7089506.43666417
2982,Milk,54586584,20000000,34586584,55284562.660501294,20255732.676183302,35028829.98431799
2983,Outlander,7033683,50000000,-42966317,7123620.12885076,50639331.6904583,-43515711.56160754
2984,The X Files: I Want to Believe,68369434,30000000,38369434,69243648.916298,30383599.014275,38860049.902023
2985,Doubt,50907234,20000000,30907234,51558166.1593956,20255732.676183302,31302433.483212296
2986,Rachel Getting Married,0,0,0,0.0,0.0,0.0
2987,A Matter of Loaf and Death,0,0,0,0.0,0.0,0.0
2988,City of Ember,17869048,55000000,-37130952,18097532.973294396,55703264.8595042,-37605731.8862098
2989,Made of Honor,84601681,40000000,44601681,85683451.714587,40511465.35236671,45171986.362220295
2990,The Other Boleyn Girl,0,35000000,-35000000,0.0,35447532.1833208,-35447532.1833208
2991,The Lazarus Project,558000,0,558000,565134.941665515,0.0,565134.941665515
2992,Deception,17741298,25000000,-7258702,17968149.4808253,25319665.8452291,-7351516.364403799
2993,RockNRolla,25739015,18000000,7739015,26068130.3594136,18230159.408565,7837970.950848602
2994,The Eye,56309766,12000000,44309766,57029778.3577219,12153439.60571,44876338.7520119
2995,Elegy,14894347,13000000,1894347,15084795.5609156,13166226.239519099,1918569.3213965017
2996,Bangkok Dangerous,42487390,45000000,-2512610,43030660.697437204,45575398.5214125,-2544737.823975295
2997,Meet the Spartans,84646831,30000000,54646831,85729179.0311034,30383599.014275,55345580.0168284
2998,Stop-Loss,11207130,25000000,-13792870,11350431.4673617,25319665.8452291,-13969234.3778674
2999,Drillbit Taylor,0,40000000,-40000000,0.0,40511465.35236671,-40511465.35236671
3000,"Synecdoche, New York",0,21000000,-21000000,0.0,21268519.3099925,-21268519.3099925
3001,My Sassy Girl,0,0,0,0.0,0.0,0.0
3002,Blindness,19844979,25000000,-5155021,20098729.4794236,25319665.8452291,-5220936.365805499
3003,The Spirit,39031337,60000000,-20968663,39530416.4133012,60767198.02855,-21236781.6152488
3004,Sleepwalking,204660,0,204660,207276.912475384,0.0,207276.912475384
3005,Nothing But the Truth,186702,11500000,-11313298,189089.290105439,11647046.288805401,-11457956.998699961
3006,Eden Lake,3983997,0,3983997,4034938.91073582,0.0,4034938.91073582
3007,Appaloosa,20211394,20000000,211394,20469829.6938508,20255732.676183302,214097.01766749844
3008,The Informers,382174,18000000,-17617826,387060.718989384,18230159.408565,-17843098.689575616
3009,The Happening,163403799,60000000,103403799,165493183.540839,60767198.02855,104725985.51228899
3010,Doomsday,22211426,30000000,-7788574,22495435.370641395,30383599.014275,-7888163.643633604
3011,The Secret of Moonacre,7070330,12000000,-4929670,7160735.72061997,12153439.60571,-4992703.88509003
3012,Joy Ride 2: Dead Ahead,0,5000000,-5000000,0.0,5063933.16904583,-5063933.16904583
3013,Bronson,0,0,0,0.0,0.0,0.0
3014,Vals Im Bashir,11125849,2000000,9125849,11268111.156979,2025573.26761833,9242537.88936067
3015,Max Manus,0,8,-8,0.0,8.102293070473339,-8.102293070473339
3016,Dr. Dolittle: Tail to the Chief,0,0,0,0.0,0.0,0.0
3017,Sex and the City,415252786,65000000,350252786,420562471.312818,65831131.1975958,354731340.1152222
3018,The Rocker,8762890,15000000,-6237110,8874937.86554001,15191799.5071375,-6316861.641597489
3019,Barbie Mariposa and Her Butterfly Fairy Friends,0,0,0,0.0,0.0,0.0
3020,The Tale of Despereaux,50877145,60000000,-9122855,51527692.422370896,60767198.02855,-9239505.606179103
3021,Zombie Strippers!,0,0,0,0.0,0.0,0.0
3022,Niko: LentÃ¤jÃ¤n poika,0,6100000,-6100000,0.0,6177998.46623592,-6177998.46623592
3023,Superhero Movie,25871834,35000000,-9128166,26202647.6673295,35447532.1833208,-9244884.515991297
3024,The Secret Life of Bees,38105395,11000000,27105395,38592634.732018605,11140652.9719008,27451981.760117806
3025,100 Feet,0,10000000,-10000000,0.0,10127866.3380916,-10127866.3380916
3026,The Other Man,1143856,15000000,-13856144,1158482.06780241,15191799.5071375,-14033317.43933509
3027,Beverly Hills Chihuahua,149281606,20000000,129281606,151190415.230366,20255732.676183302,130934682.5541827
3028,The Burning Plain,0,20000000,-20000000,0.0,20255732.676183302,-20255732.676183302
3029,Revolutionary Road,75225693,35000000,40225693,76187576.3894318,35447532.1833208,40740044.20611101
3030,Be Kind Rewind,0,0,0,0.0,0.0,0.0
3031,Sunshine Cleaning,16174377,5000000,11174377,16381192.8357904,5063933.16904583,11317259.66674457
3032,Futurama: The Beast with a Billion Backs,0,0,0,0.0,0.0,0.0
3033,The Andromeda Strain,0,0,0,0.0,0.0,0.0
3034,The Ruins,0,8000000,-8000000,0.0,8102293.07047334,-8102293.07047334
3035,Camp Rock,0,0,0,0.0,0.0,0.0
3036,Ghost Town,0,0,0,0.0,0.0,0.0
3037,Hunger,2724474,0,2724474,2759310.85136059,0.0,2759310.85136059
3038,Fifty Dead Men Walking,0,0,0,0.0,0.0,0.0
3039,Dead Space: Downfall,0,0,0,0.0,0.0,0.0
3040,The Art of War II: Betrayal,0,0,0,0.0,0.0,0.0
3041,Futurama: Bender's Game,0,0,0,0.0,0.0,0.0
3042,Ong Bak 2,8936663,8500000,436663,9050932.83725693,8608686.38737792,442246.44987901114
3043,Miss Pettigrew Lives for a Day,16051363,0,16051363,16256605.900819,0.0,16256605.900819
3044,Pride and Glory,31148328,30000000,1148328,31546610.263903804,30383599.014275,1163011.2496288046
3045,Splinter,124191,0,124191,125778.984839394,0.0,125778.984839394
3046,Robot Chicken: Star Wars Episode II,0,0,0,0.0,0.0,0.0
3047,"Surfer, Dude",69497,6000000,-5930503,70385.63268983571,6076719.802855,-6006334.170165164
3048,Baby Mama,63833449,30000000,33833449,64649663.9371391,30383599.014275,34266064.9228641
3049,The Colour of Magic,0,0,0,0.0,0.0,0.0
3050,College,6230276,7000000,-769724,6309940.25774204,7089506.43666417,-779566.1789221298
3051,The Stoning of Soraya M.,0,0,0,0.0,0.0,0.0
3052,Fireflies in the Garden,0,0,0,0.0,0.0,0.0
3053,Brideshead Revisited,13204291,20000000,-6795709,13373129.4337266,20255732.676183302,-6882603.2424567025
3054,Shutter,0,0,0,0.0,0.0,0.0
3055,College Road Trip,68397662,0,68397662,69272237.8573972,0.0,69272237.8573972
3056,The Brothers Bloom,5530764,20000000,-14469236,5601483.85395292,20255732.676183302,-14654248.822230382
3057,Meet Dave,50650079,60000000,-9349921,51297723.0125784,60767198.02855,-9469475.015971601
3058,War Games: The Dead Code,0,0,0,0.0,0.0,0.0
3059,Quarantine,40855419,12000000,28855419,41377822.2818731,12153439.60571,29224382.6761631
3060,Chaos Theory,240476,0,240476,243550.878551893,0.0,243550.878551893
3061,Justice League: The New Frontier,5231128,3500000,1731128,5298016.51814488,3544753.21833208,1753263.2998128003
3062,Pathology,0,8000000,-8000000,0.0,8102293.07047334,-8102293.07047334
3063,One Missed Call,0,20000000,-20000000,0.0,20255732.676183302,-20255732.676183302
3064,Deadgirl,0,0,0,0.0,0.0,0.0
3065,"Angus, Thongs and Perfect Snogging",0,1,-1,0.0,1.01278663380916,-1.01278663380916
3066,Towelhead,367638,0,367638,372338.852480334,0.0,372338.852480334
3067,The Escapist,0,0,0,0.0,0.0,0.0
3068,Camille,0,6000000,-6000000,0.0,6076719.802855,-6076719.802855
3069,Mad Money,0,0,0,0.0,0.0,0.0
3070,Barbie and the Diamond Castle,0,0,0,0.0,0.0,0.0
3071,9to5: Days in Porn,0,0,0,0.0,0.0,0.0
3072,Open Season 2,0,0,0,0.0,0.0,0.0
3073,The Cottage,0,0,0,0.0,0.0,0.0
3074,Batman: Gotham Knight,0,3500000,-3500000,0.0,3544753.21833208,-3544753.21833208
3075,Two Lovers,3148182,12000000,-8851818,3188436.65039861,12153439.60571,-8965002.95531139
3076,Passengers,2000000,25000000,-23000000,2025573.26761833,25319665.8452291,-23294092.577610772
3077,The Sisterhood of the Traveling Pants 2,44352417,27000000,17352417,44919535.114730395,27345239.1128475,17574296.001882896
3078,The Express,9793496,40000000,-30206504,9918721.84706354,40511465.35236671,-30592743.505303167
3079,Strange Wilderness,6575282,0,6575282,6659357.72312601,0.0,6659357.72312601
3080,Surveillance,1115493,3500000,-2384507,1129756.40050768,3544753.21833208,-2414996.8178244
3081,The Women,50007546,16000000,34007546,50646974.178397104,16204586.1409466,34442388.03745051
3082,Gong fu guan lan,22896728,10000000,12896728,23189500.076364104,10127866.3380916,13061633.738272503
3083,Picture This,0,0,0,0.0,0.0,0.0
3084,Killshot,2960993,0,2960993,2998854.1332025,0.0,2998854.1332025
3085,ÐÐ´Ð¼Ð¸Ñ€Ð°Ð»ÑŠ,38135878,2000000,36135878,38623507.506977,2025573.26761833,36597934.23935867
3086,Alien Raiders,0,0,0,0.0,0.0,0.0
3087,Nights in Rodanthe,84375061,0,84375061,85453934.00763309,0.0,85453934.00763309
3088,Over Her Dead Body,0,10000000,-10000000,0.0,10127866.3380916,-10127866.3380916
3089,Space Chimps,63800345,37000000,26800345,64616136.6484135,37473105.4509392,27143031.1974743
3090,The Promotion,0,0,0,0.0,0.0,0.0
3091,Lakeview Terrace,27640028,20000000,7640028,27993450.916511104,20255732.676183302,7737718.240327802
3092,Journey to the Edge of the Universe,0,0,0,0.0,0.0,0.0
3093,Frozen River,0,0,0,0.0,0.0,0.0
3094,Soul Men,0,0,0,0.0,0.0,0.0
3095,The Echo,0,0,0,0.0,0.0,0.0
3096,Birds of America,0,0,0,0.0,0.0,0.0
3097,Big Buck Bunny,0,150000,-150000,0.0,151917.995071375,-151917.995071375
3098,Day of the Dead,0,18000000,-18000000,0.0,18230159.408565,-18230159.408565
3099,Boogeyman 3,0,0,0,0.0,0.0,0.0
3100,Bathory,0,0,0,0.0,0.0,0.0
3101,Pulse 2: Afterlife,0,0,0,0.0,0.0,0.0
3102,Lost Boys: The Tribe,0,0,0,0.0,0.0,0.0
3103,Barbie in 'A Christmas Carol',4496912,0,4496912,4554412.36701605,0.0,4554412.36701605
3104,20 Years After,0,1000000,-1000000,0.0,1012786.63380916,-1012786.63380916
3105,The Oxford Murders,0,14100000,-14100000,0.0,14280291.536709199,-14280291.536709199
3106,Next Avengers: Heroes of Tomorrow,3800000,0,3800000,3848589.20847483,0.0,3848589.20847483
3107,Easy Virtue,0,0,0,0.0,0.0,0.0
3108,Restraint,0,0,0,0.0,0.0,0.0
3109,Ben 10: Race Against Time,0,0,0,0.0,0.0,0.0
3110,Jodhaa Akbar,13000000,8376800,4623200,13166226.239519099,8483911.07409263,4682315.1654264685
3111,Prom Night,14796236,0,14796236,14985430.051485999,0.0,14985430.051485999
3112,Far Cry,0,30000000,-30000000,0.0,30383599.014275,-30383599.014275
3113,Clubbed,0,0,0,0.0,0.0,0.0
3114,Choke,3830137,3000000,830137,3879111.55925794,3038359.9014275,840751.65783044
3115,Vinyan,0,0,0,0.0,0.0,0.0
3116,"War, Inc.",1296184,5000000,-3703816,1312757.8301573,5063933.16904583,-3751175.33888853
3117,The Wackness,2899975,6000000,-3100025,2937055.91838074,6076719.802855,-3139663.88447426
3118,What Just Happened,6673422,25000000,-18326578,6758752.60336804,25319665.8452291,-18560913.24186106
3119,Hell Ride,194287,0,194287,196771.276722881,0.0,196771.276722881
3120,What Doesn't Kill You,44872,0,44872,45445.7618322849,0.0,45445.7618322849
3121,The Librarian: The Curse of the Judas Chalice,0,0,0,0.0,0.0,0.0
3122,Pour elle,0,10000000,-10000000,0.0,10127866.3380916,-10127866.3380916
3123,Franklyn,0,12000000,-12000000,0.0,12153439.60571,-12153439.60571
3124,The Poker House,0,0,0,0.0,0.0,0.0
3125,Pistol Whipped,0,10000000,-10000000,0.0,10127866.3380916,-10127866.3380916
3126,Recount,0,0,0,0.0,0.0,0.0
3127,First Sunday,38804615,0,38804615,39300795.4021107,0.0,39300795.4021107
3128,Afterwards,0,15400000,-15400000,0.0,15596914.1606611,-15596914.1606611
3129,Cadillac Records,0,12000000,-12000000,0.0,12153439.60571,-12153439.60571
3130,Pinocchio,0,0,0,0.0,0.0,0.0
3131,Meet the Browns,41939392,0,41939392,42475655.6476831,0.0,42475655.6476831
3132,2012 Doomsday,0,250000,-250000,0.0,253196.658452291,-253196.658452291
3133,Assassination of a High School President,69564,11500000,-11430436,70453.4893943009,11647046.288805401,-11576592.7994111
3134,Disaster Movie,14109284,25000000,-10890716,14289694.2478175,25319665.8452291,-11029971.5974116
3135,Man on Wire,2957978,0,2957978,2995800.58150157,0.0,2995800.58150157
3136,The Onion Movie,0,0,0,0.0,0.0,0.0
3137,Miracle at St. Anna,9323833,45000000,-35676167,9443053.43826883,45575398.5214125,-36132345.08314367
3138,The Prince & Me 3: A Royal Honeymoon,0,0,0,0.0,0.0,0.0
3139,"Food, Inc.",0,0,0,0.0,0.0,0.0
3140,The Shepherd: Border Patrol,0,0,0,0.0,0.0,0.0
3141,Generation Kill,0,0,0,0.0,0.0,0.0
3142,Amusement,0,6000000,-6000000,0.0,6076719.802855,-6076719.802855
3143,My Best Friend's Girl,36620508,20000000,16620508,37088761.0257016,20255732.676183302,16833028.349518295
3144,Paris,23550000,19000000,4550000,23851125.2262058,19242946.042374104,4608179.1838316955
3145,The Children,0,0,0,0.0,0.0,0.0
3146,Breathing Room,0,0,0,0.0,0.0,0.0
3147,The Midnight Meat Train,3533227,15000000,-11466773,3578405.07981366,15191799.5071375,-11613394.42732384
3148,Repo! The Genetic Opera,188126,0,188126,190531.498271983,0.0,190531.498271983
3149,Mutant Chronicles,2033165,8000000,-5966835,2059162.33632861,8102293.07047334,-6043130.7341447305
3150,The Objective,0,0,0,0.0,0.0,0.0
3151,ä¸‰å›½ä¹‹è§é¾™å¸ç”²,0,0,0,0.0,0.0,0.0
3152,Einstein and Eddington,0,0,0,0.0,0.0,0.0
3153,Anaconda 3: Offspring,0,0,0,0.0,0.0,0.0
3154,I Can't Think Straight,0,0,0,0.0,0.0,0.0
3155,Major Movie Star,0,0,0,0.0,0.0,0.0
3156,No Man's Land: The Rise of Reeker,0,2000000,-2000000,0.0,2025573.26761833,-2025573.26761833
3157,Religulous,0,0,0,0.0,0.0,0.0
3158,Swing Vote,17600000,21000000,-3400000,17825044.7550413,21268519.3099925,-3443474.5549511984
3159,Flashbacks of a Fool,1107542,0,1107542,1121703.73398227,0.0,1121703.73398227
3160,All the Boys Love Mandy Lane,0,750000,-750000,0.0,759589.975356875,-759589.975356875
3161,The Meerkats,0,0,0,0.0,0.0,0.0
3162,Insanitarium,0,0,0,0.0,0.0,0.0
3163,Dance of the Dead,0,0,0,0.0,0.0,0.0
3164,The Lucky Ones,0,0,0,0.0,0.0,0.0
3165,$5 a Day,0,0,0,0.0,0.0,0.0
3166,Winged Creatures,0,0,0,0.0,0.0,0.0
3167,Flash of Genius,0,0,0,0.0,0.0,0.0
3168,Pontypool,0,1500000,-1500000,0.0,1519179.95071375,-1519179.95071375
3169,A Film with Me in It,0,0,0,0.0,0.0,0.0
3170,Babysitter Wanted,0,0,0,0.0,0.0,0.0
3171,The Assassination of Jesse James: Death Of An Outlaw,0,0,0,0.0,0.0,0.0
3172,Henry Poole Is Here,1829917,0,1829917,1853315.47858017,0.0,1853315.47858017
3173,Ãšltima Parada 174,0,4700000,-4700000,0.0,4760097.17890308,-4760097.17890308
3174,Les Femmes de l'ombre,0,0,0,0.0,0.0,0.0
3175,Gigantic,165888,0,165888,168009.149109335,0.0,168009.149109335
3176,W.,29506464,25100000,4406464,29883752.3501713,25420944.5086101,4462807.841561202
3177,My Mom's New Boyfriend,0,0,0,0.0,0.0,0.0
3178,The Edge of Love,0,0,0,0.0,0.0,0.0
3179,Dorothy Mills,0,500000,-500000,0.0,506393.31690458296,-506393.31690458296
3180,Fireproof,33456317,500000,32956317,33884110.6740824,506393.31690458296,33377717.357177816
3181,The Other End of the Line,0,14000000,-14000000,0.0,14179012.873328302,-14179012.873328302
3182,Chris Rock: Kill the Messenger,0,0,0,0.0,0.0,0.0
3183,Smart People,10569964,7000000,3569964,10705118.259044,7089506.43666417,3615611.822379831
3184,æ±äº¬æ®‹é…·è­¦å¯Ÿ,0,0,0,0.0,0.0,0.0
3185,Forever Strong,0,0,0,0.0,0.0,0.0
3186,L'Heure d'Ã©tÃ©,0,0,0,0.0,0.0,0.0
3187,Charlie Bartlett,0,12000000,-12000000,0.0,12153439.60571,-12153439.60571
3188,Kong saan mei yan,0,0,0,0.0,0.0,0.0
3189,Fly Me to the Moon,0,0,0,0.0,0.0,0.0
3190,Redbelt,0,7000000,-7000000,0.0,7089506.43666417,-7089506.43666417
3191,Johnny Mad Dog,0,0,0,0.0,0.0,0.0
3192,Pranzo di ferragosto,0,0,0,0.0,0.0,0.0
3193,Nim's Island,100076342,37000000,63076342,101355981.53811501,37473105.4509392,63882876.08717581
3194,Vacancy 2: The First Cut,0,0,0,0.0,0.0,0.0
3195,15 ans et demi,0,0,0,0.0,0.0,0.0
3196,Make It Happen,0,0,0,0.0,0.0,0.0
3197,Another Gay Sequel: Gays Gone Wild!,0,0,0,0.0,0.0,0.0
3198,Igor,30000000,25000000,5000000,30383599.014275,25319665.8452291,5063933.169045899
3199,Extreme Movie,0,0,0,0.0,0.0,0.0
3200,Boot Camp,0,14000000,-14000000,0.0,14179012.873328302,-14179012.873328302
3201,Lost in Austen,0,0,0,0.0,0.0,0.0
3202,Adulthood,0,0,0,0.0,0.0,0.0
3203,Semi-Pro,33472850,0,33472850,33900855.0754991,0.0,33900855.0754991
3204,The Haunting of Molly Hartley,0,0,0,0.0,0.0,0.0
3205,Last Chance Harvey,14879423,0,14879423,15069680.7331927,0.0,15069680.7331927
3206,How to Lose Friends & Alienate People,17286299,27000000,-9713701,17507332.5752287,27345239.1128475,-9837906.537618801
3207,The Ramen Girl,0,0,0,0.0,0.0,0.0
3208,Dream Boy,0,0,0,0.0,0.0,0.0
3209,House,0,0,0,0.0,0.0,0.0
3210,Blackout,0,0,0,0.0,0.0,0.0
3211,I Sell The Dead,0,0,0,0.0,0.0,0.0
3212,Krabat,0,8000000,-8000000,0.0,8102293.07047334,-8102293.07047334
3213,Solstice,0,0,0,0.0,0.0,0.0
3214,Train,0,0,0,0.0,0.0,0.0
3215,Oorlogswinter,530048,4000000,-3469952,536825.529677281,4051146.53523667,-3514321.005559389
3216,NYC: Tornado Terror,0,0,0,0.0,0.0,0.0
3217,While She Was Out,391410,6000000,-5608590,396414.816339246,6076719.802855,-5680304.986515754
3218,Wendy and Lucy,0,200000,-200000,0.0,202557.326761833,-202557.326761833
3219,The BrÃ¸ken,0,6700000,-6700000,0.0,6785670.44652142,-6785670.44652142
3220,24: Redemption,0,0,0,0.0,0.0,0.0
3221,Pulse 3,0,0,0,0.0,0.0,0.0
3222,J'ai toujours rÃªvÃ© d'Ãªtre un gangster,0,0,0,0.0,0.0,0.0
3223,La Fille de Monaco,0,0,0,0.0,0.0,0.0
3224,John Mayer: Where the Light Is Live in Los Angeles,0,0,0,0.0,0.0,0.0
3225,Welcome Home Roscoe Jenkins,43650785,35000000,8650785,44208931.603277706,35447532.1833208,8761399.419956908
3226,Lymelife,0,1500000,-1500000,0.0,1519179.95071375,-1519179.95071375
3227,Jeff Dunham: Jeff Dunham's Very Special Christmas Special,0,0,0,0.0,0.0,0.0
3228,Dark Floors,0,4300000,-4300000,0.0,4354982.52537942,-4354982.52537942
3229,The Cutting Edge 3: Chasing the Dream,0,0,0,0.0,0.0,0.0
3230,Snow Angels,414404,0,414404,419702.832197054,0.0,419702.832197054
3231,Center Stage : Turn It Up,0,0,0,0.0,0.0,0.0
3232,Kit Kittredge: An American Girl,0,0,0,0.0,0.0,0.0
3233,Minutemen,0,0,0,0.0,0.0,0.0
3234,Bo chi tung wah,0,5750000,-5750000,0.0,5823523.14440271,-5823523.14440271
3235,Ghajini,76000000,9100000,66900000,76971784.1694967,9216358.36766342,67755425.80183327
3236,XIII,0,21000000,-21000000,0.0,21268519.3099925,-21268519.3099925
3237,August,0,0,0,0.0,0.0,0.0
3238,Young @ Heart,0,0,0,0.0,0.0,0.0
3239,Dr. Horrible's Sing-Along Blog,3,200000,-199997,3.0383599014275005,202557.326761833,-202554.28840193158
3240,Little Ashes,0,2500000,-2500000,0.0,2531966.58452291,-2531966.58452291
3241,$9.99,0,0,0,0.0,0.0,0.0
3242,Kill Theory,0,0,0,0.0,0.0,0.0
3243,Jaane Tu... Ya Jaane Na,11100000,2300000,8800000,11241931.635281699,2329409.25776108,8912522.377520619
3244,VeggieTales: The Pirates Who Don't Do Anything,0,0,0,0.0,0.0,0.0
3245,The Hottie & The Nottie,0,0,0,0.0,0.0,0.0
3246,Batman Unmasked: The Psychology of the Dark Knight,0,0,0,0.0,0.0,0.0
3247,Tomb Raider: Ascension,0,20000,-20000,0.0,20255.7326761833,-20255.7326761833
3248,Tunnel Rats,0,8000000,-8000000,0.0,8102293.07047334,-8102293.07047334
3249,Eldorado,0,0,0,0.0,0.0,0.0
3250,MR 73,0,0,0,0.0,0.0,0.0
3251,Afterschool,0,0,0,0.0,0.0,0.0
3252,Jerusalema,0,0,0,0.0,0.0,0.0
3253,Red,0,2500000,-2500000,0.0,2531966.58452291,-2531966.58452291
3254,Front of the Class,0,0,0,0.0,0.0,0.0
3255,Hero Wanted,0,0,0,0.0,0.0,0.0
3256,Autopsy,0,15000000,-15000000,0.0,15191799.5071375,-15191799.5071375
